tourney_pk,tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2018-W-WITF-FRA-07A-201815201810312Gonesse $15K,2018-W-WITF-FRA-07A-2018,201810312,Gonesse $15K,Clay,32,15,2524,508412.62
2016-W-C10-SLO-01A-201610201620606Velenje $10K,2016-W-C10-SLO-01A-2016,201620606,Velenje $10K,Clay,32,10,3996,563526.85
2019-W-ITF-USA-15A-2019100201920429W100 Charleston SC,2019-W-ITF-USA-15A-2019,201920429,W100 Charleston SC,Clay,32,100,3314,917393.65
2019-W-ITF-THA-03A-201925201930722W25 Nonthaburi,2019-W-ITF-THA-03A-2019,201930722,W25 Nonthaburi,Hard,32,25,3187,578561.9
2016-W-C25-GER-07A-201625201630725Horb $25K,2016-W-C25-GER-07A-2016,201630725,Horb $25K,Clay,32,25,3705,550368.16
2018-6911C201841119Andria CH,2018-6911,201841119,Andria CH,Hard,32,C,3089,621014.17
2019-W-ITF-GBR-01A-201925201910218W25 Glasgow,2019-W-ITF-GBR-01A-2019,201910218,W25 Glasgow,Hard,32,25,4217,697132.63
2019-W-ITF-USA-50A-201925201941021W25 Dallas TX,2019-W-ITF-USA-50A-2019,201941021,W25 Dallas TX,Hard,32,25,3085,657359.73
2021-2039C202130726Charleston 125K,2021-2039,202130726,Charleston 125K,Clay,32,C,2751,556526.06
2016-W-C10-TUR-01A-201610201610104Antalya $10K,2016-W-C10-TUR-01A-2016,201610104,Antalya $10K,Clay,32,10,3343,635146.09
2020-M-DC-2020-WG1-PO-MEX-FIN-01D202010306Davis Cup WG1 PO: MEX vs FIN,2020-M-DC-2020-WG1-PO-MEX-FIN-01,202010306,Davis Cup WG1 PO: MEX vs FIN,Clay,4,D,473,91596.75
2018-W-FC-2018-G1-EPA-A-M-SRB-GEO-01D201810209Fed Cup G1 RR: SRB vs GEO,2018-W-FC-2018-G1-EPA-A-M-SRB-GEO-01,201810209,Fed Cup G1 RR: SRB vs GEO,Hard,2,D,164,33376.11
2018-W-WITF-EGY-28A-201815201841126Cairo $15K,2018-W-WITF-EGY-28A-2018,201841126,Cairo $15K,Clay,32,15,2477,435537.21
2020-9404A202041012Cologne 1,2020-9404,202041012,Cologne 1,Hard,32,A,3596,662567.22
2017-M035I201730731Washington,2017-M035,201730731,Washington,Hard,32,I,6701,1397851.41
2018-M001A201810108Sydney,2018-M001,201810108,Sydney,Hard,32,A,3123,635311.29
2017-0314A201730724Gstaad,2017-0314,201730724,Gstaad,Clay,32,A,2642,552197.05
2017-W-FC-2017-G2-EPA-PPO-DEN-SWE-01D201720422Fed Cup G2 PPO: DEN vs SWE,2017-W-FC-2017-G2-EPA-PPO-DEN-SWE-01,201720422,Fed Cup G2 PPO: DEN vs SWE,Hard,2,D,154,30051.83
2021-9466C202110308Biella 3 CH,2021-9466,202110308,Biella 3 CH,Hard,32,C,3348,625016.82
2018-W-WITF-ITA-19A-201815201820514San Severo $15K,2018-W-WITF-ITA-19A-2018,201820514,San Severo $15K,Clay,32,15,3223,744095.94
2019-W-ITF-AUS-06A-201925201910304W25 Mildura,2019-W-ITF-AUS-06A-2019,201910304,W25 Mildura,Grass,32,25,3513,554326.94
2019-W-ITF-BOL-01A-201915201930805W15 Santa Cruz de la Sierra,2019-W-ITF-BOL-01A-2019,201930805,W15 Santa Cruz de la Sierra,Clay,30,15,2853,637349.03
2018-1743C201830702Recanati CH,2018-1743,201830702,Recanati CH,Hard,32,C,4347,810781.76
2016-W-C25-ITA-01A-201625201610222Beinasco $25K,2016-W-C25-ITA-01A-2016,201610222,Beinasco $25K,Clay,32,25,2413,490713.72
2019-0808F201941028Shenzhen Finals,2019-0808,201941028,Shenzhen Finals,Hard,8,F,795,150364.49
2019-0877C201930722Granby CH,2019-0877,201930722,Granby CH,Hard,64,C,6948,893445.91
2019-W-ITF-POR-15A-201915201941028W15 Lousada,2019-W-ITF-POR-15A-2019,201941028,W15 Lousada,Hard,32,15,2956,659735.58
2016-W-C10-SLO-03A-201610201620620Maribor $10K,2016-W-C10-SLO-03A-2016,201620620,Maribor $10K,Clay,32,10,3411,653049.86
2020-W-FC-2020-G1-EPA-A-B-M-EST-AUT-01D202010207Fed Cup G1 RR: EST vs AUT,2020-W-FC-2020-G1-EPA-A-B-M-EST-AUT-01,202010207,Fed Cup G1 RR: EST vs AUT,Hard,2,D,201,40046.52
2021-0526C202130705Braunschweig CH,2021-0526,202130705,Braunschweig CH,Clay,32,C,2881,535781.65
2018-W-WITF-CHN-19A-201815201830924Anning 15K,2018-W-WITF-CHN-19A-2018,201830924,Anning 15K,Clay,32,15,4285,936136.2
2020-9414C202041102Parma CH,2020-9414,202041102,Parma CH,Hard,32,C,2276,514595.96
2018-W-WITF-FIN-01A-201815201830723Tampere 15K,2018-W-WITF-FIN-01A-2018,201830723,Tampere 15K,Clay,32,15,3095,453845.14
2020-W-FC-2020-G2-EPA-B-M-POR-FIN-01D202010206Fed Cup G2 RR: POR vs FIN,2020-W-FC-2020-G2-EPA-B-M-POR-FIN-01,202010206,Fed Cup G2 RR: POR vs FIN,Hard,2,D,188,37307.15
2019-W-FC-2019-G2-EPA-A-M-BIH-TUN-01D201910207Fed Cup G2 RR: BIH vs TUN,2019-W-FC-2019-G2-EPA-A-M-BIH-TUN-01,201910207,Fed Cup G2 RR: BIH vs TUN,Hard,2,D,224,44660.65
2017-0877C201730724Granby CH,2017-0877,201730724,Granby CH,Hard,32,C,3066,619657.75
2019-W-ITF-EGY-08A-201915201910311W15 Sharm El Sheikh,2019-W-ITF-EGY-08A-2019,201910311,W15 Sharm El Sheikh,Hard,32,15,3503,539346.41
2018-W-WITF-TUR-31A-201825201841022Istanbul $25K,2018-W-WITF-TUR-31A-2018,201841022,Istanbul $25K,Hard,32,25,4204,754131.56
2017-9001C201730710Perugia CH,2017-9001,201730710,Perugia CH,Clay,32,C,3138,646038.61
2018-W-WITF-BRA-04A-201815201810312Sao Jose Dos Campos $15K,2018-W-WITF-BRA-04A-2018,201810312,Sao Jose Dos Campos $15K,Clay,32,15,4138,713272.32
2018-W-WITF-AUS-13A-201860201841022Bendigo $60K,2018-W-WITF-AUS-13A-2018,201841022,Bendigo $60K,Hard,32,60,4115,693640.7
2017-0328A201741023Basel,2017-0328,201741023,Basel,Hard,32,A,3402,714059.45
2019-W-ITF-ITA-19A-201925201930826W25 Bagnatica,2019-W-ITF-ITA-19A-2019,201930826,W25 Bagnatica,Clay,32,25,2934,548962.93
2017-3503C201710123Rennes CH,2017-3503,201710123,Rennes CH,Hard,32,C,3994,577386.57
2016-W-FC-2016-G1-EPA-B-M-GEO-RSA-01D201610203Fed Cup G1 RR: GEO vs RSA,2016-W-FC-2016-G1-EPA-B-M-GEO-RSA-01,201610203,Fed Cup G1 RR: GEO vs RSA,Hard,2,D,239,52499.77
2017-M-DC-2017-WG-M-ARG-ITA-01D201710203Davis Cup WG R1: ARG vs ITA,2017-M-DC-2017-WG-M-ARG-ITA-01,201710203,Davis Cup WG R1: ARG vs ITA,Clay,4,D,370,76080.14
2016-W-C10-BEL-03A-201610201630711Knokke $10K,2016-W-C10-BEL-03A-2016,201630711,Knokke $10K,Clay,32,10,3035,696974.03
2021-8888A202110202Atp Cup,2021-8888,202110202,Atp Cup,Hard,12,A,1238,267962.71
2016-W-C25-CHN-05A-201625201641031Chenzhou $25K,2016-W-C25-CHN-05A-2016,201641031,Chenzhou $25K,Hard,32,25,3391,644621.16
2018-W-FC-2018-G1-EPA-REL-GEO-AUT-01D201810210Fed Cup G1 REL: GEO vs AUT,2018-W-FC-2018-G1-EPA-REL-GEO-AUT-01,201810210,Fed Cup G1 REL: GEO vs AUT,Hard,2,D,134,26720.82
2016-W-FC-2016-G2-AO-B-M-INA-MAS-01D201620415Fed Cup G2 RR: INA vs MAS,2016-W-FC-2016-G2-AO-B-M-INA-MAS-01,201620415,Fed Cup G2 RR: INA vs MAS,Hard,2,D,234,47770.19
2017-W-WITF-ITA-13A-201760201720605Brescia $60K,2017-W-WITF-ITA-13A-2017,201720605,Brescia $60K,Clay,32,60,3057,582236.56
2017-W-WITF-TUN-28A-201715201730925Hammamet $15K,2017-W-WITF-TUN-28A-2017,201730925,Hammamet $15K,Clay,32,15,3150,487515.34
2019-W-ITF-CHN-15A-201925201930715W25 Qujing,2019-W-ITF-CHN-15A-2019,201930715,W25 Qujing,Hard,32,25,4193,755076.45
2017-W-WITF-EGY-16A-201715201720501Cairo $15K,2017-W-WITF-EGY-16A-2017,201720501,Cairo $15K,Clay,32,15,2974,552769.79
2017-W-WITF-TUN-19A-201715201720515Hammamet $15K,2017-W-WITF-TUN-19A-2017,201720515,Hammamet $15K,Clay,32,15,3216,685959.05
2017-W-WITF-TUN-21A-201715201720529Hammamet $15K,2017-W-WITF-TUN-21A-2017,201720529,Hammamet $15K,Clay,32,15,2727,501654.56
2021-W-FC-2021-POS-M-CAN-SRB-01D202120417BJK Cup Playoffs: CAN vs SRB,2021-W-FC-2021-POS-M-CAN-SRB-01,202120417,BJK Cup Playoffs: CAN vs SRB,Hard,4,D,497,105905.82
2019-7849C201910204Chennai CH,2019-7849,201910204,Chennai CH,Hard,64,C,4647,1460820.61
2017-W-WITF-CHN-03B-201760201710313Shenzhen $60K,2017-W-WITF-CHN-03B-2017,201710313,Shenzhen $60K,Hard,32,60,2747,442981.66
2020-M-DC-2020-WG1-PO-BOL-DOM-01D202010306Davis Cup WG1 PO: BOL vs DOM,2020-M-DC-2020-WG1-PO-BOL-DOM-01,202010306,Davis Cup WG1 PO: BOL vs DOM,Clay,4,D,447,95016.56
2021-2040W202130823Cleveland,2021-2040,202130823,Cleveland,Hard,32,W,3716,847358.95
2018-7874C201810319Lille CH,2018-7874,201810319,Lille CH,Hard,32,C,3063,616117.83
2016-W-C10-KAZ-05A-201610201630926Shymkent $10K,2016-W-C10-KAZ-05A-2016,201630926,Shymkent $10K,Clay,32,10,2976,563273.56
2019-W-ITF-CRO-01A-201915201920506W15 Tucepi,2019-W-ITF-CRO-01A-2019,201920506,W15 Tucepi,Clay,32,15,3399,695117.2
2018-W-WITF-THA-08A-201825201830813Nonthaburi $25K,2018-W-WITF-THA-08A-2018,201830813,Nonthaburi $25K,Hard,32,25,3283,671070.2
2016-W-C50-CAN-03A-201650201641017Saguenay $50K,2016-W-C50-CAN-03A-2016,201641017,Saguenay $50K,Hard,32,50,3166,660205.82
2019-W-ITF-ESP-10A-201960201930923W60 Valencia,2019-W-ITF-ESP-10A-2019,201930923,W60 Valencia,Clay,32,60,3969,892813.25
2017-7810C201741120Rio De Janeiro CH,2017-7810,201741120,Rio De Janeiro CH,Clay,32,C,3795,767733.16
2017-W-WITF-ARG-03A-201715201730911Buenos Aires $15K,2017-W-WITF-ARG-03A-2017,201730911,Buenos Aires $15K,Clay,32,15,2736,453641.65
2016-W-C25-JPN-06A-201625201641017Hamamatsu $25K,2016-W-C25-JPN-06A-2016,201641017,Hamamatsu $25K,Carpet,32,25,4611,941686.01
2021-8394C202130712Iasi CH,2021-8394,202130712,Iasi CH,Clay,32,C,3471,688470.23
2018-7707C201820423Francavilla Al Mare CH,2018-7707,201820423,Francavilla Al Mare CH,Clay,32,C,3895,941709.63
2019-W-ITF-KAZ-03A-201915201920408W15 Shymkent,2019-W-ITF-KAZ-03A-2019,201920408,W15 Shymkent,Clay,32,15,2693,610751.85
2017-W-WITF-ESP-18A-201725201741009Seville $25K,2017-W-WITF-ESP-18A-2017,201741009,Seville $25K,Clay,32,25,2946,630612.25
2016-6156C201620627Marburg CH,2016-6156,201620627,Marburg CH,Clay,32,C,3538,650606.4
2018-0894I201820409Bogota,2018-0894,201820409,Bogota,Clay,32,I,3076,626381.08
2016-W-C10-GER-04A-201610201641017Ismaning $10K,2016-W-C10-GER-04A-2016,201641017,Ismaning $10K,Carpet,32,10,3191,679564.52
2017-W-WITF-CHN-11A-201715201720619Anning $15K,2017-W-WITF-CHN-11A-2017,201720619,Anning $15K,Clay,32,15,3049,564494.4
2021-W-ITF-TUN-14A-202115202120405W15 Monastir,2021-W-ITF-TUN-14A-2021,202120405,W15 Monastir,Hard,32,15,3558,860899.7
2016-W-C10-ESP-12A-201610201630808Las Palmas de Gran Canaria $10K,2016-W-C10-ESP-12A-2016,201630808,Las Palmas de Gran Canaria $10K,Clay,32,10,4812,1074140.32
2016-W-C10-ISR-05A-201610201630912Ashkelon $10K,2016-W-C10-ISR-05A-2016,201630912,Ashkelon $10K,Hard,32,10,2872,611373.3
2018-W-WITF-EGY-26A-201815201841112Sharm El Sheikh $15K,2018-W-WITF-EGY-26A-2018,201841112,Sharm El Sheikh $15K,Hard,32,15,3610,568408.42
2020-W-ITF-FRA-03A-202060202010127W60 Andrezieux-Boutheon,2020-W-ITF-FRA-03A-2020,202010127,W60 Andrezieux-Boutheon,Hard,32,60,3248,700898.95
2016-W-C10-TUR-17A-201610201620425Manisa $10K,2016-W-C10-TUR-17A-2016,201620425,Manisa $10K,Clay,32,10,2507,449454.69
2018-W-WITF-GER-13A-201825201830813Leipzig $25K,2018-W-WITF-GER-13A-2018,201830813,Leipzig $25K,Clay,32,25,3588,702892.27
2019-W-ITF-EGY-21A-201915201941209W15 Cairo,2019-W-ITF-EGY-21A-2019,201941209,W15 Cairo,Clay,32,15,3943,855423.03
2021-W-ITF-POR-06A-202125202120426W25 Oeiras,2021-W-ITF-POR-06A-2021,202120426,W25 Oeiras,Clay,48,25,5700,1078595.08
2018-W-WITF-CZE-03A-201825201820604Stare Splavy $25K,2018-W-WITF-CZE-03A-2018,201820604,Stare Splavy $25K,Clay,32,25,2975,605798.16
2018-W-WITF-USA-29A-201825201830917Lubbock TX $25K,2018-W-WITF-USA-29A-2018,201830917,Lubbock TX $25K,Hard,32,25,3064,602948.98
2020-W-FC-2020-G1-EPA-A-B-M-EST-GRE-01D202010205Fed Cup G1 RR: EST vs GRE,2020-W-FC-2020-G1-EPA-A-B-M-EST-GRE-01,202010205,Fed Cup G1 RR: EST vs GRE,Hard,2,D,232,41836.45
2018-W-WITF-GRE-06A-201815201841029Heraklion $15K,2018-W-WITF-GRE-06A-2018,201841029,Heraklion $15K,Clay,32,15,3093,521930.44
2017-0300I201741016Luxembourg,2017-0300,201741016,Luxembourg,Hard,32,I,2670,535938.19
2017-0444C201741106Bratislava CH,2017-0444,201741106,Bratislava CH,Hard,32,C,3580,656102.43
2019-7201C201941007Santo Domingo CH,2019-7201,201941007,Santo Domingo CH,Clay,64,C,7052,1676261.21
2016-W-C25-CHN-01A-201625201630808Naiman $25K,2016-W-C25-CHN-01A-2016,201630808,Naiman $25K,Hard,32,25,3699,788152.77
2018-M-DC-2018-G1-AM-M-COL-BAR-01D201810202Davis Cup G1 R1: COL vs BAR,2018-M-DC-2018-G1-AM-M-COL-BAR-01,201810202,Davis Cup G1 R1: COL vs BAR,Hard,4,D,461,92112.89
2018-7027C201820416Nanchang CH,2018-7027,201820416,Nanchang CH,Clay,32,C,3506,611771.25
2019-W-ITF-FRA-22A-201960201941028W60 Nantes,2019-W-ITF-FRA-22A-2019,201941028,W60 Nantes,Hard,32,60,2876,610017.61
2019-W-ITF-MEX-02A-201925201910304W25 Irapuato,2019-W-ITF-MEX-02A-2019,201910304,W25 Irapuato,Hard,32,25,3772,777773.38
2019-W-ITF-POR-06A-201915201920527W15 Montemor O Novo,2019-W-ITF-POR-06A-2019,201920527,W15 Montemor O Novo,Hard,32,15,3406,622695.59
2021-W-ITF-BEL-01A-202115202130823W15 Wanfercee-Baulet,2021-W-ITF-BEL-01A-2021,202130823,W15 Wanfercee-Baulet,Clay,32,15,1930,457305.87
2016-W-C10-TUR-39B-201610201641024Antalya $10K,2016-W-C10-TUR-39B-2016,201641024,Antalya $10K,Clay,32,10,2780,649461.0
2018-W-WITF-USA-14A-201880201820430Charleston SC $80K,2018-W-WITF-USA-14A-2018,201820430,Charleston SC $80K,Clay,32,80,3324,579595.51
2019-W-ITF-TUN-01A-201915201910107W15 Monastir,2019-W-ITF-TUN-01A-2019,201910107,W15 Monastir,Hard,32,15,3424,721096.77
2017-W-WITF-UKR-01A-201715201730731Ivano Frankivsk $15K,2017-W-WITF-UKR-01A-2017,201730731,Ivano Frankivsk $15K,Clay,32,15,3944,698668.7
2016-7584C201641024Budapest CH,2016-7584,201641024,Budapest CH,Hard,32,C,4182,982625.97
2016-W-FC-2016-G1-AO-B-M-KOR-TPE-01D201610205Fed Cup G1 RR: KOR vs TPE,2016-W-FC-2016-G1-AO-B-M-KOR-TPE-01,201610205,Fed Cup G1 RR: KOR vs TPE,Hard,2,D,236,50844.26
2018-W-WITF-ITA-12A-201825201820507Rome $25K,2018-W-WITF-ITA-12A-2018,201820507,Rome $25K,Clay,32,25,2190,449229.57
2018-W-WITF-SWE-05A-201815201841022Stockholm $15K,2018-W-WITF-SWE-05A-2018,201841022,Stockholm $15K,Hard,32,15,3703,886721.27
2021-9353C202120607Orlando 2 CH,2021-9353,202120607,Orlando 2 CH,Hard,32,C,3004,659880.94
2018-W-WITF-TUN-34A-201815201841008Monastir 15K,2018-W-WITF-TUN-34A-2018,201841008,Monastir 15K,Hard,32,15,3777,829047.25
2017-W-WITF-CZE-05A-201715201730828Ricany $15K,2017-W-WITF-CZE-05A-2017,201730828,Ricany $15K,Clay,32,15,3547,662101.31
2019-W-FC-2019-G1-EPA-B-B-M-SRB-TUR-01D201910207Fed Cup G1 RR: SRB vs TUR,2019-W-FC-2019-G1-EPA-B-B-M-SRB-TUR-01,201910207,Fed Cup G1 RR: SRB vs TUR,Hard,2,D,258,52816.66
2020-W-FC-2020-QLS-M-BLR-NED-01D202010207Fed Cup QLS R1: BLR vs NED,2020-W-FC-2020-QLS-M-BLR-NED-01,202010207,Fed Cup QLS R1: BLR vs NED,Clay,4,D,314,63536.7
2018-W-WITF-JPN-07A-201880201820430Gifu $80K,2018-W-WITF-JPN-07A-2018,201820430,Gifu $80K,Hard,32,80,3257,759852.58
2018-M007M201810319Miami Masters,2018-M007,201810319,Miami Masters,Hard,128,M,13375,3601609.54
2016-W-C10-KOR-05A-201610201630711Gimcheon $10K,2016-W-C10-KOR-05A-2016,201630711,Gimcheon $10K,Hard,32,10,1969,394358.81
2020-W-FC-2020-G2-EPA-REL-ISR-POR-01D202010207Fed Cup G2 REL: ISR vs POR,2020-W-FC-2020-G2-EPA-REL-ISR-POR-01,202010207,Fed Cup G2 REL: ISR vs POR,Hard,2,D,186,37372.5
2019-W-ITF-HKG-04A-201925201920527W25 Hong Kong,2019-W-ITF-HKG-04A-2019,201920527,W25 Hong Kong,Hard,32,25,3835,820475.0
2021-W-ITF-SRB-03A-202125202130816W25 Vrnjacka Banja,2021-W-ITF-SRB-03A-2021,202130816,W25 Vrnjacka Banja,Clay,32,25,2521,519893.81
2019-W-ITF-TUR-03A-201915201910128W15 Antalya,2019-W-ITF-TUR-03A-2019,201910128,W15 Antalya,Clay,32,15,2103,450132.89
2016-7540C201630704Bastad CH,2016-7540,201630704,Bastad CH,Clay,32,C,3867,639221.14
2016-1094I201630711Gstaad,2016-1094,201630711,Gstaad,Clay,32,I,2621,560442.79
2021-9001C202130705Perugia CH,2021-9001,202130705,Perugia CH,Clay,32,C,3321,586721.31
2018-W-WITF-THA-01A-201815201820430Hua Hin $15K,2018-W-WITF-THA-01A-2018,201820430,Hua Hin $15K,Hard,32,15,3852,694792.1
2019-W-ITF-HUN-01A-201915201920624W15 Budapest,2019-W-ITF-HUN-01A-2019,201920624,W15 Budapest,Clay,32,15,3357,636357.24
2019-W-ITF-POL-04A-201925201930729W25 Grodzisk Mazowiecki,2019-W-ITF-POL-04A-2019,201930729,W25 Grodzisk Mazowiecki,Clay,32,25,2996,488942.31
2017-W-WITF-FRA-03A-201715201710123Saint Martin Guadeloupe $15K,2017-W-WITF-FRA-03A-2017,201710123,Saint Martin Guadeloupe $15K,Hard,32,15,3042,402790.96
2018-0424A201810212New York,2018-0424,201810212,New York,Hard,32,A,4181,1102491.53
2016-W-C10-FIN-01A-201610201630718Tampere $10K,2016-W-C10-FIN-01A-2016,201630718,Tampere $10K,Clay,32,10,3429,767257.24
2021-0444C202120607Bratislava CH,2021-0444,202120607,Bratislava CH,Clay,32,C,2578,463278.86
2018-7009C201820507Aix En Provence CH,2018-7009,201820507,Aix En Provence CH,Clay,32,C,4009,790340.11
2016-W-FC-2016-G1-EPA-D-M-BEL-LAT-01D201610203Fed Cup G1 RR: BEL vs LAT,2016-W-FC-2016-G1-EPA-D-M-BEL-LAT-01,201610203,Fed Cup G1 RR: BEL vs LAT,Hard,2,D,116,23470.39
2018-7922C201830730Sopot CH,2018-7922,201830730,Sopot CH,Clay,32,C,3532,830213.33
2017-W-FC-2017-G1-AM-B-M-ARG-BRA-01D201710210Fed Cup G1 RR: ARG vs BRA,2017-W-FC-2017-G1-AM-B-M-ARG-BRA-01,201710210,Fed Cup G1 RR: ARG vs BRA,Hard,2,D,225,43304.57
2018-2000C201830903Chicago,2018-2000,201830903,Chicago,Hard,32,C,3437,807664.79
2018-W-WITF-CHN-07A-201860201820423Quanzhou $60K,2018-W-WITF-CHN-07A-2018,201820423,Quanzhou $60K,Hard,32,60,2680,625892.32
2016-W-C100-UAE-01A-2016100201641212Dubai $100K,2016-W-C100-UAE-01A-2016,201641212,Dubai $100K,Hard,32,100,2515,551251.77
2018-W-WITF-EGY-15A-201815201820430Cairo $15K,2018-W-WITF-EGY-15A-2018,201820430,Cairo $15K,Clay,32,15,3531,692724.33
2018-W-WITF-SRB-03A-201815201830709Prokuplje $15K,2018-W-WITF-SRB-03A-2018,201830709,Prokuplje $15K,Clay,32,15,2728,472638.55
2019-W-ITF-EGY-17A-201915201930916W15 Cairo,2019-W-ITF-EGY-17A-2019,201930916,W15 Cairo,Clay,32,15,3375,749000.35
2017-W-WITF-USA-41A-201725201741113Norman OK $25K,2017-W-WITF-USA-41A-2017,201741113,Norman OK $25K,Hard,32,25,3767,654266.77
2016-6120A201620516Nice,2016-6120,201620516,Nice,Clay,32,A,3056,817571.24
2016-W-C25-BRA-01A-201625201610118Guaruja $25K,2016-W-C25-BRA-01A-2016,201610118,Guaruja $25K,Hard,32,25,2926,539334.68
2016-W-FC-2016-G1-EPA-C-M-CRO-TUR-01D201610204Fed Cup G1 RR: CRO vs TUR,2016-W-FC-2016-G1-EPA-C-M-CRO-TUR-01,201610204,Fed Cup G1 RR: CRO vs TUR,Hard,2,D,179,34785.46
2017-7740C201720612Nottingham CH,2017-7740,201720612,Nottingham CH,Grass,32,C,3226,646126.37
2021-2032P202110203Grampians Trophy,2021-2032,202110203,Grampians Trophy,Hard,32,P,1961,362610.8
2016-W-C10-FIN-02A-201610201630725Savitaipale $10K,2016-W-C10-FIN-02A-2016,201630725,Savitaipale $10K,Clay,32,10,3756,584086.41
2019-W-ITF-GER-07A-201915201920610W15 Kaltenkirchen,2019-W-ITF-GER-07A-2019,201920610,W15 Kaltenkirchen,Clay,32,15,3038,655721.03
2019-W-ITF-KOR-02A-201925201920520W25 Goyang,2019-W-ITF-KOR-02A-2019,201920520,W25 Goyang,Hard,32,25,3782,742498.62
2016-W-FC-2016-WG2-PO-CAN-SVK-01D201620416Fed Cup WG2 R1: CAN vs SVK,2016-W-FC-2016-WG2-PO-CAN-SVK-01,201620416,Fed Cup WG2 R1: CAN vs SVK,Clay,4,D,419,84787.15
2019-W-FC-2019-WG2-M-CAN-NED-01D201910209Fed Cup WG2 R1: CAN vs NED,2019-W-FC-2019-WG2-M-CAN-NED-01,201910209,Fed Cup WG2 R1: CAN vs NED,Clay,4,D,361,71016.07
2016-0603C201620613Fergana CH,2016-0603,201620613,Fergana CH,Hard,32,C,3074,645832.82
2018-W-WITF-POR-04A-201815201820521Oeiras $15K,2018-W-WITF-POR-04A-2018,201820521,Oeiras $15K,Clay,32,15,2803,604938.26
2017-M-DC-2017-WG-M-AUS-USA-01D201720407Davis Cup WG QF: AUS vs USA,2017-M-DC-2017-WG-M-AUS-USA-01,201720407,Davis Cup WG QF: AUS vs USA,Hard,4,D,422,90843.59
2017-W-WITF-USA-22A-201760201730717Stockton CA $60K,2017-W-WITF-USA-22A-2017,201730717,Stockton CA $60K,Hard,32,60,3430,692723.99
2019-M016P201920624Eastbourne,2019-M016,201920624,Eastbourne,Grass,64,P,4516,868154.79
2017-W-WITF-CZE-07A-201715201730911Prague $15K,2017-W-WITF-CZE-07A-2017,201730911,Prague $15K,Clay,32,15,4162,681755.23
2017-540G201730703Wimbledon,2017-540,201730703,Wimbledon,Grass,128,G,13332,3749463.21
2017-W-WITF-TUR-02A-201715201710116Antalya $15K,2017-W-WITF-TUR-02A-2017,201710116,Antalya $15K,Clay,32,15,3579,927249.11
2017-3463C201720626Milan CH,2017-3463,201720626,Milan CH,Clay,32,C,3497,504860.05
2020-W-ITF-TUN-30A-202015202030914W15 Monastir,2020-W-ITF-TUN-30A-2020,202030914,W15 Monastir,Hard,32,15,2263,394805.92
2019-6307C201930930Campinas CH,2019-6307,201930930,Campinas CH,Clay,64,C,6837,1591141.27
2019-0321A201920610Stuttgart,2019-0321,201920610,Stuttgart,Grass,32,A,3880,716385.4
2016-1049I201610104Auckland,2016-1049,201610104,Auckland,Hard,32,I,2007,396848.4
2017-W-WITF-THA-03A-201725201720508Hua Hin $25K,2017-W-WITF-THA-03A-2017,201720508,Hua Hin $25K,Hard,32,25,3464,645465.26
2020-W-ITF-EGY-18B-202015202041005W15 Sharm El Sheikh,2020-W-ITF-EGY-18B-2020,202041005,W15 Sharm El Sheikh,Hard,32,15,3537,629315.23
2017-W-WITF-ESP-24A-201725201741120Valencia $25K,2017-W-WITF-ESP-24A-2017,201741120,Valencia $25K,Clay,32,25,3319,663498.75
2017-W-FC-2017-G1-EPA-D-M-SRB-ISR-01D201710210Fed Cup G1 RR: SRB vs ISR,2017-W-FC-2017-G1-EPA-D-M-SRB-ISR-01,201710210,Fed Cup G1 RR: SRB vs ISR,Hard,2,D,222,44645.01
2016-W-FC-2016-G2-EPA-A-M-FIN-DEN-01D201620414Fed Cup G2 RR: FIN vs DEN,2016-W-FC-2016-G2-EPA-A-M-FIN-DEN-01,201620414,Fed Cup G2 RR: FIN vs DEN,Clay,2,D,297,60555.45
2017-M015A201741002Beijing,2017-M015,201741002,Beijing,Hard,32,A,3336,649999.95
2018-3503C201810122Rennes CH,2018-3503,201810122,Rennes CH,Hard,32,C,3770,721942.21
2016-W-C10-GRE-13A-201610201641107Heraklion $10K,2016-W-C10-GRE-13A-2016,201641107,Heraklion $10K,Hard,32,10,3033,688693.92
2017-7341C201741023Brest CH,2017-7341,201741023,Brest CH,Hard,32,C,2443,530361.02
2020-W-FC-2020-G2-AO-B-B-M-TKM-GUM-01D202010205Fed Cup G2 RR: TKM vs GUM,2020-W-FC-2020-G2-AO-B-B-M-TKM-GUM-01,202010205,Fed Cup G2 RR: TKM vs GUM,Hard,2,D,194,38154.55
2016-0213C201610321San Luis Potosi CH,2016-0213,201610321,San Luis Potosi CH,Clay,32,C,3372,581493.12
2019-W-ITF-ITA-07A-201925201920506W25 Rome,2019-W-ITF-ITA-07A-2019,201920506,W25 Rome,Clay,32,25,3265,561516.07
2016-W-C25-HUN-01A-201625201620509Gyor $25K,2016-W-C25-HUN-01A-2016,201620509,Gyor $25K,Clay,32,25,3409,745116.74
2017-7387C201741120Hua Hin CH,2017-7387,201741120,Hua Hin CH,Hard,32,C,2596,584874.0
2017-W-FC-2017-G2-AO-PP1-4-HKG-MAS-01D201730722Fed Cup G2 PM: HKG vs MAS,2017-W-FC-2017-G2-AO-PP1-4-HKG-MAS-01,201730722,Fed Cup G2 PM: HKG vs MAS,Hard,2,D,201,42527.74
