workclass,education
Private,Some-college
Private,Doctorate
Private,12th
Private,Bachelors
Private,Some-college
Private,12th
Private,HS-grad
State-gov,Some-college
Private,Bachelors
Self-emp-not-inc,Prof-school
Private,11th
Private,HS-grad
Private,Assoc-voc
Local-gov,Assoc-acdm
Private,Some-college
Private,HS-grad
Local-gov,Bachelors
State-gov,Some-college
Private,Bachelors
State-gov,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Federal-gov,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Federal-gov,Assoc-acdm
Private,Assoc-voc
Private,Some-college
Private,Prof-school
Private,HS-grad
State-gov,Doctorate
Self-emp-not-inc,Doctorate
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-inc,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,12th
Self-emp-not-inc,Prof-school
Private,HS-grad
Private,Bachelors
Private,Masters
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-inc,Prof-school
Private,HS-grad
Private,Masters
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
Private,Some-college
Private,HS-grad
State-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Local-gov,HS-grad
Self-emp-inc,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,12th
State-gov,Assoc-acdm
Private,HS-grad
Private,Masters
Self-emp-not-inc,Masters
Private,Some-college
Private,11th
Private,Bachelors
Private,Some-college
State-gov,Masters
State-gov,HS-grad
Private,Some-college
Private,Some-college
Private,Some-college
Local-gov,Masters
Private,Doctorate
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Masters
Private,HS-grad
Private,Bachelors
Private,Some-college
Local-gov,HS-grad
Private,HS-grad
Local-gov,Some-college
Private,Some-college
State-gov,Masters
Private,1st-4th
?,Some-college
Private,HS-grad
Private,Some-college
Local-gov,11th
State-gov,Doctorate
Private,10th
Federal-gov,Assoc-acdm
Private,Some-college
Private,7th-8th
Private,Bachelors
?,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-inc,Bachelors
Local-gov,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-inc,Bachelors
Private,10th
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Bachelors
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Some-college
Private,11th
Private,HS-grad
Private,Some-college
Private,11th
Private,Bachelors
Private,Some-college
Private,Bachelors
Local-gov,Assoc-acdm
Self-emp-inc,Some-college
Private,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Bachelors
Private,Assoc-voc
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,Some-college
Private,Masters
Private,Masters
Private,Assoc-voc
Private,Some-college
Private,12th
State-gov,11th
Private,HS-grad
State-gov,Doctorate
Private,12th
Private,Assoc-voc
Private,HS-grad
Private,Assoc-acdm
Private,Assoc-acdm
Private,Bachelors
Private,10th
Private,HS-grad
Private,7th-8th
Private,HS-grad
Private,Some-college
?,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
?,Prof-school
Private,Bachelors
Private,Bachelors
Federal-gov,Some-college
Private,7th-8th
?,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Bachelors
Federal-gov,HS-grad
Self-emp-not-inc,Some-college
Private,Masters
Private,HS-grad
Federal-gov,Bachelors
Federal-gov,Some-college
Private,Some-college
Private,5th-6th
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Masters
Private,Bachelors
Self-emp-inc,Some-college
Private,Assoc-acdm
Private,Some-college
Federal-gov,Bachelors
Private,HS-grad
Private,10th
Private,Masters
Private,HS-grad
State-gov,12th
Private,Some-college
Private,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Assoc-voc
Private,Assoc-voc
Private,Some-college
Private,11th
Private,Assoc-acdm
Local-gov,Masters
Private,HS-grad
Private,Masters
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
State-gov,Bachelors
Private,Bachelors
Self-emp-inc,HS-grad
Private,11th
Self-emp-not-inc,Bachelors
Private,10th
?,11th
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,10th
Self-emp-not-inc,Masters
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
?,Assoc-acdm
?,11th
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,11th
Private,10th
Private,HS-grad
Local-gov,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Local-gov,HS-grad
?,HS-grad
Private,Bachelors
Private,HS-grad
Self-emp-inc,Some-college
Private,HS-grad
Private,11th
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Doctorate
Self-emp-not-inc,Some-college
Private,Some-college
Federal-gov,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,10th
Private,HS-grad
Private,Masters
Private,HS-grad
Private,Some-college
Private,11th
Private,Some-college
Private,HS-grad
Private,Some-college
Local-gov,Assoc-voc
Private,Bachelors
Federal-gov,HS-grad
Private,Some-college
State-gov,Doctorate
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
State-gov,Some-college
Self-emp-inc,Some-college
Private,11th
Self-emp-not-inc,Some-college
Private,HS-grad
Private,HS-grad
Private,10th
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
?,10th
Federal-gov,Bachelors
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,10th
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
?,10th
Private,Some-college
Private,Assoc-voc
Private,Some-college
Self-emp-not-inc,Some-college
?,HS-grad
Private,Some-college
Self-emp-not-inc,Prof-school
Private,Bachelors
Self-emp-not-inc,Doctorate
Private,HS-grad
Private,Bachelors
State-gov,HS-grad
Private,Some-college
Private,Prof-school
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,10th
Self-emp-inc,Masters
Private,Bachelors
Private,Assoc-voc
Self-emp-inc,Assoc-acdm
Private,HS-grad
Self-emp-not-inc,Prof-school
Local-gov,Prof-school
Private,Some-college
Private,Some-college
State-gov,HS-grad
Self-emp-not-inc,10th
Private,HS-grad
Private,7th-8th
Private,12th
Private,11th
?,5th-6th
?,Assoc-acdm
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Some-college
Self-emp-inc,Bachelors
Private,HS-grad
Private,12th
Private,Some-college
Private,7th-8th
Private,9th
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Some-college
?,9th
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Private,Bachelors
Private,12th
Local-gov,Some-college
Private,HS-grad
Private,Bachelors
State-gov,Masters
Private,11th
Private,HS-grad
Private,Masters
Private,9th
Private,HS-grad
Private,HS-grad
Private,9th
Private,9th
Private,Bachelors
State-gov,Some-college
Private,HS-grad
?,Some-college
Federal-gov,HS-grad
Self-emp-inc,HS-grad
Private,7th-8th
?,Assoc-acdm
State-gov,Bachelors
Private,Some-college
Private,12th
Self-emp-not-inc,Bachelors
?,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,7th-8th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,Bachelors
Private,1st-4th
State-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-voc
Self-emp-not-inc,7th-8th
Private,Assoc-voc
Private,11th
Local-gov,Bachelors
State-gov,Some-college
Private,Some-college
?,Masters
Federal-gov,Bachelors
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Private,7th-8th
Private,HS-grad
Self-emp-inc,HS-grad
Private,11th
Private,HS-grad
Local-gov,HS-grad
Local-gov,Masters
Local-gov,HS-grad
Private,Bachelors
?,Some-college
Self-emp-not-inc,Doctorate
Private,Bachelors
Local-gov,Bachelors
Private,Bachelors
Private,HS-grad
Private,Masters
Private,HS-grad
Private,Some-college
Private,Some-college
Private,Masters
Private,Masters
Private,5th-6th
Local-gov,Masters
Private,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,10th
Private,Some-college
Local-gov,Bachelors
Private,10th
Local-gov,Bachelors
Federal-gov,HS-grad
Local-gov,Masters
Private,HS-grad
State-gov,Masters
State-gov,Some-college
Local-gov,Some-college
Local-gov,Assoc-acdm
Local-gov,Some-college
Private,Bachelors
Private,Assoc-voc
Self-emp-not-inc,12th
Private,5th-6th
Private,Bachelors
Private,11th
Private,Some-college
Local-gov,Bachelors
Private,Assoc-voc
Self-emp-inc,HS-grad
Private,HS-grad
Local-gov,HS-grad
Local-gov,HS-grad
Private,HS-grad
?,HS-grad
Private,HS-grad
Private,10th
Private,11th
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,Bachelors
?,Some-college
Private,Bachelors
Federal-gov,Prof-school
Private,Assoc-voc
Private,Assoc-voc
Local-gov,Masters
Private,11th
Private,HS-grad
Private,7th-8th
Self-emp-not-inc,Masters
Private,Some-college
State-gov,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Some-college
Private,Masters
Private,Some-college
Private,Some-college
?,Assoc-voc
?,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Local-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-voc
Self-emp-not-inc,Bachelors
Private,Bachelors
Self-emp-inc,Some-college
Private,Assoc-voc
Self-emp-inc,Assoc-acdm
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Prof-school
Private,9th
Private,Bachelors
?,HS-grad
Private,Bachelors
Self-emp-not-inc,Assoc-voc
Local-gov,Masters
Private,Bachelors
Federal-gov,Bachelors
Self-emp-inc,Bachelors
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,Assoc-voc
Local-gov,Bachelors
Private,Bachelors
Private,Some-college
Private,10th
Self-emp-not-inc,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Private,Bachelors
Private,5th-6th
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,10th
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,9th
Federal-gov,Masters
?,Some-college
Private,Some-college
Private,HS-grad
Private,10th
Local-gov,Bachelors
Private,HS-grad
Private,12th
Local-gov,Bachelors
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Masters
Private,11th
Private,Some-college
Private,Preschool
State-gov,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,9th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Self-emp-not-inc,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Local-gov,Some-college
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Masters
Local-gov,Bachelors
Private,Bachelors
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
Private,Some-college
Self-emp-not-inc,Some-college
Private,HS-grad
Private,5th-6th
Self-emp-not-inc,Prof-school
Private,HS-grad
Private,Bachelors
?,Bachelors
Private,Bachelors
Private,Masters
Private,Bachelors
Local-gov,Bachelors
Private,1st-4th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
?,5th-6th
Private,Some-college
Private,Bachelors
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,11th
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,Bachelors
Private,10th
Private,Some-college
?,HS-grad
Private,10th
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Self-emp-inc,Some-college
Private,Some-college
Private,1st-4th
Private,Some-college
Federal-gov,HS-grad
Private,Bachelors
Private,Some-college
Private,11th
Self-emp-not-inc,Some-college
Private,HS-grad
Private,Assoc-acdm
Local-gov,Bachelors
Self-emp-not-inc,Some-college
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,12th
Private,HS-grad
Self-emp-not-inc,HS-grad
?,HS-grad
Local-gov,Some-college
Private,HS-grad
Private,Assoc-voc
Private,Assoc-acdm
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Some-college
Private,10th
Self-emp-not-inc,Bachelors
Local-gov,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
?,Some-college
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,HS-grad
?,Masters
Private,Some-college
Private,HS-grad
Federal-gov,Some-college
Private,Some-college
Private,Bachelors
Private,Masters
Private,Bachelors
Local-gov,Masters
Private,Bachelors
Private,Assoc-voc
Self-emp-not-inc,Bachelors
Private,Some-college
Self-emp-inc,Bachelors
?,Bachelors
Self-emp-inc,Bachelors
Self-emp-not-inc,HS-grad
Local-gov,HS-grad
Local-gov,Some-college
Self-emp-not-inc,Some-college
Private,Bachelors
Private,Some-college
Private,10th
Federal-gov,Bachelors
Self-emp-not-inc,Some-college
Private,Bachelors
Private,10th
Local-gov,Masters
Private,HS-grad
Local-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Some-college
Self-emp-inc,HS-grad
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Private,Assoc-acdm
Private,Some-college
Private,Assoc-voc
State-gov,Bachelors
Private,HS-grad
Private,Masters
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,11th
Private,Assoc-voc
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Bachelors
Local-gov,Bachelors
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,12th
Private,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Some-college
Private,Bachelors
Private,HS-grad
Private,9th
Private,HS-grad
Private,Bachelors
Local-gov,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Prof-school
Private,HS-grad
Private,HS-grad
Private,Bachelors
?,Some-college
Private,HS-grad
Local-gov,9th
Private,Some-college
State-gov,Doctorate
Private,Some-college
Private,Bachelors
State-gov,Masters
Private,Some-college
Private,7th-8th
Self-emp-inc,HS-grad
Private,7th-8th
Private,Some-college
Private,Masters
Private,Some-college
Self-emp-not-inc,HS-grad
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Doctorate
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,7th-8th
Private,Some-college
Private,11th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
Private,Assoc-acdm
Federal-gov,Some-college
Private,Masters
Private,11th
State-gov,Some-college
Local-gov,HS-grad
Federal-gov,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Local-gov,Masters
Private,Assoc-voc
Federal-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
?,HS-grad
Federal-gov,Some-college
Private,Bachelors
Private,Bachelors
Private,Bachelors
?,Prof-school
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Assoc-voc
Private,Bachelors
?,5th-6th
Private,Masters
Private,Bachelors
Private,HS-grad
State-gov,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Assoc-voc
Local-gov,HS-grad
State-gov,Some-college
Private,Bachelors
?,11th
Local-gov,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Federal-gov,Some-college
Private,Prof-school
Private,HS-grad
?,Some-college
Local-gov,Bachelors
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,Masters
?,HS-grad
Private,HS-grad
Self-emp-not-inc,10th
Federal-gov,HS-grad
Private,10th
Self-emp-not-inc,Bachelors
Private,Assoc-voc
Private,7th-8th
Private,1st-4th
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,Some-college
Local-gov,Masters
Private,Assoc-voc
Self-emp-not-inc,Prof-school
Private,HS-grad
Private,Doctorate
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
?,Some-college
Private,Bachelors
Private,Prof-school
Private,Bachelors
Private,Bachelors
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Self-emp-not-inc,HS-grad
?,12th
Private,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,Some-college
State-gov,Some-college
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-inc,Bachelors
State-gov,HS-grad
Private,HS-grad
?,11th
State-gov,9th
Local-gov,Assoc-voc
Self-emp-not-inc,Some-college
State-gov,Doctorate
Private,Bachelors
Private,Some-college
Private,Bachelors
Private,Some-college
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Bachelors
Self-emp-not-inc,1st-4th
Private,9th
Private,9th
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,11th
Private,11th
Private,Some-college
?,9th
Private,10th
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Federal-gov,Bachelors
Private,Bachelors
Private,11th
Self-emp-inc,Assoc-acdm
Private,10th
Private,Assoc-voc
State-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Local-gov,Bachelors
Private,Prof-school
?,10th
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Private,Masters
State-gov,HS-grad
Private,HS-grad
Private,12th
Private,Bachelors
Self-emp-inc,11th
Self-emp-inc,Assoc-voc
Private,HS-grad
Self-emp-not-inc,7th-8th
Local-gov,Masters
Private,Some-college
Private,Some-college
Federal-gov,HS-grad
Private,Bachelors
Private,Some-college
?,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,Some-college
Local-gov,Masters
State-gov,Bachelors
Local-gov,HS-grad
Private,Some-college
Private,9th
Local-gov,HS-grad
Private,Masters
Private,Bachelors
Private,HS-grad
Private,Some-college
Local-gov,1st-4th
Private,Bachelors
Private,HS-grad
State-gov,Bachelors
State-gov,9th
Private,HS-grad
State-gov,HS-grad
Private,Some-college
Private,HS-grad
Private,Some-college
Federal-gov,HS-grad
Self-emp-not-inc,Assoc-acdm
Private,HS-grad
Self-emp-not-inc,Some-college
Local-gov,Bachelors
Private,Some-college
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,1st-4th
Private,HS-grad
Private,Assoc-voc
Private,Bachelors
Private,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Federal-gov,Bachelors
Private,Bachelors
State-gov,Bachelors
Private,HS-grad
Self-emp-not-inc,5th-6th
Private,Masters
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,12th
Self-emp-not-inc,Some-college
Private,11th
Private,Bachelors
Private,11th
Private,Assoc-voc
Self-emp-not-inc,Some-college
Private,HS-grad
Private,HS-grad
?,Some-college
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Local-gov,Masters
Private,HS-grad
Private,Some-college
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Local-gov,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,Some-college
Local-gov,HS-grad
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Federal-gov,HS-grad
Private,Prof-school
Private,Some-college
Private,11th
Self-emp-not-inc,7th-8th
Private,11th
Private,HS-grad
?,11th
Private,11th
Private,Some-college
Private,Masters
Private,Masters
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Federal-gov,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-inc,HS-grad
Private,1st-4th
Private,12th
Private,HS-grad
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,10th
Private,10th
Private,Some-college
Federal-gov,HS-grad
Self-emp-inc,HS-grad
Private,Assoc-acdm
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,HS-grad
Self-emp-not-inc,Some-college
Local-gov,HS-grad
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Bachelors
Private,Bachelors
Private,Bachelors
Private,Bachelors
Private,Some-college
?,Prof-school
Private,Bachelors
Private,Some-college
State-gov,Bachelors
State-gov,Doctorate
Private,Assoc-acdm
Private,Bachelors
Self-emp-not-inc,HS-grad
Private,Some-college
Private,Some-college
Federal-gov,HS-grad
Self-emp-not-inc,Some-college
Federal-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,HS-grad
Self-emp-not-inc,Bachelors
Private,10th
Private,HS-grad
Private,Assoc-acdm
Self-emp-inc,Bachelors
Private,Assoc-voc
Private,11th
Private,Some-college
Self-emp-not-inc,HS-grad
Private,Bachelors
Local-gov,HS-grad
Private,10th
Private,Bachelors
Private,Some-college
?,Some-college
Local-gov,Bachelors
Private,5th-6th
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,10th
Private,Assoc-voc
Private,7th-8th
Private,HS-grad
Self-emp-not-inc,10th
Private,Bachelors
Private,Bachelors
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
State-gov,HS-grad
Private,HS-grad
Private,Some-college
Private,5th-6th
Private,Assoc-voc
Private,Bachelors
Federal-gov,HS-grad
State-gov,Some-college
Private,HS-grad
Private,Assoc-acdm
Federal-gov,Prof-school
Private,Assoc-voc
?,HS-grad
Private,HS-grad
?,Bachelors
Private,Bachelors
Private,Bachelors
Private,HS-grad
Private,11th
Private,5th-6th
Private,HS-grad
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Private,Some-college
Private,Doctorate
Self-emp-not-inc,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
Private,Bachelors
Self-emp-not-inc,Some-college
Local-gov,Assoc-voc
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,Assoc-voc
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Some-college
Private,Bachelors
Private,HS-grad
Private,Masters
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Some-college
Self-emp-not-inc,10th
Local-gov,Some-college
Private,HS-grad
Private,HS-grad
Private,Masters
?,HS-grad
Private,HS-grad
Private,HS-grad
Private,Assoc-acdm
Federal-gov,11th
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
Private,11th
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Masters
Federal-gov,HS-grad
Private,HS-grad
Private,Assoc-acdm
Self-emp-inc,Masters
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
Local-gov,Some-college
Private,Bachelors
Private,11th
Private,HS-grad
Self-emp-not-inc,HS-grad
Self-emp-inc,HS-grad
Private,7th-8th
Private,Some-college
Private,Assoc-acdm
Private,Some-college
Private,HS-grad
Local-gov,10th
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Self-emp-inc,Some-college
Private,Assoc-voc
Private,HS-grad
State-gov,Doctorate
Private,7th-8th
Private,HS-grad
Self-emp-inc,Some-college
Self-emp-not-inc,Bachelors
Self-emp-not-inc,HS-grad
Private,HS-grad
Self-emp-not-inc,Masters
State-gov,Some-college
?,HS-grad
Private,Some-college
Private,HS-grad
Private,7th-8th
Federal-gov,HS-grad
Private,Some-college
Private,HS-grad
Local-gov,Masters
State-gov,Bachelors
Private,Some-college
Private,Some-college
Self-emp-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Private,Some-college
?,Some-college
Local-gov,Some-college
Private,Assoc-voc
Private,11th
Private,12th
Self-emp-not-inc,Assoc-voc
Federal-gov,HS-grad
Private,5th-6th
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-inc,Bachelors
Private,HS-grad
Private,Some-college
Self-emp-inc,Bachelors
Private,HS-grad
Private,Bachelors
Private,Masters
Private,HS-grad
Private,11th
Private,Some-college
Private,11th
Private,Bachelors
Local-gov,Bachelors
Private,Assoc-acdm
Local-gov,Bachelors
Private,Masters
Private,HS-grad
Local-gov,Some-college
Federal-gov,Assoc-voc
Private,HS-grad
Self-emp-not-inc,Some-college
Private,HS-grad
Local-gov,Bachelors
Private,Masters
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Private,HS-grad
Private,Prof-school
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,Masters
Private,Bachelors
Private,11th
Self-emp-inc,HS-grad
Private,Assoc-acdm
Self-emp-not-inc,HS-grad
Local-gov,Some-college
State-gov,Masters
?,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-inc,Masters
Local-gov,Some-college
Self-emp-inc,Bachelors
Private,12th
Private,HS-grad
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,Some-college
Private,HS-grad
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Bachelors
State-gov,Some-college
Private,Some-college
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,Assoc-voc
Private,HS-grad
Private,Assoc-voc
Local-gov,HS-grad
Private,Bachelors
Local-gov,HS-grad
Self-emp-inc,Assoc-acdm
Federal-gov,HS-grad
Self-emp-inc,Prof-school
Private,Masters
Private,HS-grad
Self-emp-inc,HS-grad
Local-gov,HS-grad
Federal-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,Bachelors
Private,Bachelors
Private,11th
State-gov,11th
?,11th
Private,HS-grad
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,Masters
Private,HS-grad
Private,Some-college
State-gov,Bachelors
Private,Some-college
Private,Bachelors
Private,HS-grad
Private,Some-college
Private,HS-grad
?,HS-grad
Private,HS-grad
Private,Bachelors
Private,Some-college
Private,Some-college
Private,Some-college
Private,Some-college
Private,HS-grad
Private,12th
Federal-gov,HS-grad
Self-emp-not-inc,Some-college
Federal-gov,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,Bachelors
Private,1st-4th
Private,12th
Private,Some-college
Private,Some-college
Private,5th-6th
Federal-gov,10th
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,HS-grad
Private,Some-college
State-gov,10th
Private,Some-college
Private,Masters
Private,5th-6th
Private,HS-grad
